Timestamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,Size,GeoIP
20:35:22,UDP,172.217.1.10,443,192.168.2.19,63726,67,N/A
20:35:22,TCP,192.168.2.19,17850,172.64.80.1,8443,54,N/A
20:35:22,TCP,192.168.2.19,17850,172.64.80.1,8443,54,N/A
20:35:22,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:22,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:22,TCP,192.168.2.19,18437,34.36.73.246,443,55,N/A
20:35:22,TCP,192.168.2.19,18437,34.36.73.246,443,55,N/A
20:35:22,TCP,34.36.73.246,443,192.168.2.19,18437,60,N/A
20:35:22,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:23,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:23,TCP,104.18.36.252,443,192.168.2.19,17992,256,N/A
20:35:23,TCP,192.168.2.19,17992,104.18.36.252,443,82,N/A
20:35:23,TCP,192.168.2.19,17992,104.18.36.252,443,82,N/A
20:35:23,TCP,104.18.36.252,443,192.168.2.19,17992,60,N/A
20:35:23,DNS,192.168.2.19,,192.168.2.1,,85,N/A
20:35:23,DNS,192.168.2.19,,192.168.2.1,,85,N/A
20:35:23,DNS,192.168.2.1,,192.168.2.19,,319,N/A
20:35:23,TCP,192.168.2.19,18456,20.190.157.4,443,66,N/A
20:35:23,TCP,192.168.2.19,18456,20.190.157.4,443,66,N/A
20:35:23,TCP,20.190.157.4,443,192.168.2.19,18456,66,N/A
20:35:23,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:24,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:24,TCP,192.168.2.19,18456,20.190.157.4,443,264,N/A
20:35:24,TCP,192.168.2.19,18456,20.190.157.4,443,264,N/A
20:35:24,TCP,20.190.157.4,443,192.168.2.19,18456,1488,N/A
20:35:24,TCP,20.190.157.4,443,192.168.2.19,18456,1488,N/A
20:35:24,TCP,20.190.157.4,443,192.168.2.19,18456,1488,N/A
20:35:24,TCP,20.190.157.4,443,192.168.2.19,18456,1488,N/A
20:35:24,TCP,20.190.157.4,443,192.168.2.19,18456,568,N/A
20:35:24,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:24,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:24,TCP,192.168.2.19,18456,20.190.157.4,443,212,N/A
20:35:24,TCP,192.168.2.19,18456,20.190.157.4,443,212,N/A
20:35:24,TCP,20.190.157.4,443,192.168.2.19,18456,105,N/A
20:35:25,TCP,20.190.157.4,443,192.168.2.19,18456,123,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,141,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,141,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,92,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,92,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,500,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,500,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,1494,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,1494,N/A
20:35:25,TCP,192.168.2.19,18456,20.190.157.4,443,338,N/A
20:35:26,TCP,192.168.2.19,18456,20.190.157.4,443,1494,N/A
20:35:26,TCP,192.168.2.19,18456,20.190.157.4,443,1494,N/A
20:35:26,TCP,192.168.2.19,18456,20.190.157.4,443,338,N/A
20:35:26,TCP,192.168.2.19,18456,20.190.157.4,443,92,N/A
20:35:26,TCP,192.168.2.19,18456,20.190.157.4,443,92,N/A
20:35:26,TCP,192.168.2.19,17579,76.9.213.8,443,523,N/A
20:35:26,TCP,192.168.2.19,17579,76.9.213.8,443,523,N/A
20:35:26,TCP,76.9.213.8,443,192.168.2.19,17579,171,N/A
20:35:26,TCP,20.190.157.4,443,192.168.2.19,18456,92,N/A
20:35:26,TCP,20.190.157.4,443,192.168.2.19,18456,60,N/A
20:35:26,TCP,20.190.157.4,443,192.168.2.19,18456,60,N/A
20:35:26,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:27,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:27,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:27,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:27,TCP,20.190.157.4,443,192.168.2.19,18456,60,N/A
20:35:27,TCP,192.168.2.19,17579,76.9.213.8,443,54,N/A
20:35:27,TCP,192.168.2.19,17579,76.9.213.8,443,54,N/A
20:35:27,TCP,20.190.157.4,443,192.168.2.19,18456,60,N/A
20:35:27,TCP,20.190.157.4,443,192.168.2.19,18456,1488,N/A
20:35:27,TCP,20.190.157.4,443,192.168.2.19,18456,230,N/A
20:35:27,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:27,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:27,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:27,UDP,192.168.2.19,2008,192.168.2.255,2008,62,N/A
20:35:28,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
20:35:28,TCP,192.168.2.19,18456,20.190.157.4,443,54,N/A
